Código,Regiao,UF,Municipio,Possui Plano de Mobilidade Urbana,Ano de elaboracao,Aprovado em lei ou ato normativo,Instrumento Legal,Numero da Lei,Data da Lei
4109104,S,PR,Guaporema,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4109203,S,PR,Guaraci,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4109302,S,PR,GuaraniaÃ§u,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4109401,S,PR,Guarapuava,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4109500,S,PR,GuaraqueÃ§aba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4109609,S,PR,Guaratuba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4109658,S,PR,HonÃ³rio Serpa,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4109708,S,PR,Ibaiti,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4109757,S,PR,Ibema,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4109807,S,PR,IbiporÃ£,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4109906,S,PR,IcaraÃ­ma,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110003,S,PR,IguaraÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110052,S,PR,Iguatu,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4110078,S,PR,ImbaÃº,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4110102,S,PR,Imbituva,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110201,S,PR,InÃ¡cio Martins,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110300,S,PR,InajÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4110409,S,PR,IndianÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4110508,S,PR,Ipiranga,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110607,S,PR,IporÃ£,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110656,S,PR,Iracema do Oeste,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4110706,S,PR,Irati,Sim,2016,Sim,Lei Municipal,4.241/2016,30/12/2016
4110805,S,PR,Iretama,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4110904,S,PR,ItaguajÃ©,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4110953,S,PR,ItaipulÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111001,S,PR,ItambaracÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111100,S,PR,ItambÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4111209,S,PR,Itapejara d'Oeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111258,S,PR,ItaperuÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4111308,S,PR,ItaÃºna do Sul,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111407,S,PR,IvaÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111506,S,PR,IvaiporÃ£,Sim,2015,Sim,Lei Ordinaria,2.696/2015,23/10/2015
4111555,S,PR,IvatÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4111605,S,PR,Ivatuba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4111704,S,PR,Jaboti,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4111803,S,PR,Jacarezinho,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4111902,S,PR,JaguapitÃ£,Sim,2009,Sim,Lei Complementar,005/2009,17/07/2009
4112009,S,PR,JaguariaÃ­va,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4112108,S,PR,Jandaia do Sul,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4112207,S,PR,JaniÃ³polis,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4112306,S,PR,Japira,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4112405,S,PR,JapurÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4112504,S,PR,Jardim Alegre,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4112603,S,PR,Jardim Olinda,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4112702,S,PR,Jataizinho,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4112751,S,PR,JesuÃ­tas,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4112801,S,PR,Joaquim TÃ¡vora,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4112900,S,PR,JundiaÃ­ do Sul,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4112959,S,PR,Juranda,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113007,S,PR,Jussara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4113106,S,PR,KalorÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113205,S,PR,Lapa,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4113254,S,PR,Laranjal,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4113304,S,PR,Laranjeiras do Sul,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113403,S,PR,LeÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4113429,S,PR,LidianÃ³polis,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113452,S,PR,Lindoeste,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113502,S,PR,Loanda,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4113601,S,PR,Lobato,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4113700,S,PR,Londrina,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4113734,S,PR,Luiziana,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4113759,S,PR,Lunardelli,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113809,S,PR,LupionÃ³polis,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4113908,S,PR,Mallet,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4114005,S,PR,MamborÃª,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4114104,S,PR,MandaguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4114203,S,PR,Mandaguari,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4114302,S,PR,Mandirituba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4114351,S,PR,ManfrinÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4114401,S,PR,Mangueirinha,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4114500,S,PR,Manoel Ribas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4114609,S,PR,Marechal CÃ¢ndido Rondon,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4114708,S,PR,Maria Helena,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4114807,S,PR,Marialva,Sim,2016,Sim,Lei Complementar,276/2016,30/08/2016
4114906,S,PR,MarilÃ¢ndia do Sul,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4115002,S,PR,Marilena,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4115101,S,PR,Mariluz,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4115200,S,PR,MaringÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115309,S,PR,MariÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4115358,S,PR,MaripÃ¡,Sim,2013,Sim,Lei Complementar,46/2013,19/06/2013
4115408,S,PR,Marmeleiro,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4115457,S,PR,Marquinho,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115507,S,PR,Marumbi,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4115606,S,PR,MatelÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115705,S,PR,Matinhos,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115739,S,PR,Mato Rico,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4115754,S,PR,MauÃ¡ da Serra,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115804,S,PR,Medianeira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4115853,S,PR,Mercedes,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4115903,S,PR,Mirador,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4116000,S,PR,Miraselva,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4116059,S,PR,Missal,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4116109,S,PR,Moreira Sales,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4116208,S,PR,Morretes,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4116307,S,PR,Munhoz de Mello,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4116406,S,PR,Nossa Senhora das GraÃ§as,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4116505,S,PR,Nova AlianÃ§a do IvaÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4116604,S,PR,Nova AmÃ©rica da Colina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4116703,S,PR,Nova Aurora,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4116802,S,PR,Nova Cantu,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4116901,S,PR,Nova EsperanÃ§a,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4116950,S,PR,Nova EsperanÃ§a do Sudoeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117008,S,PR,Nova FÃ¡tima,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117057,S,PR,Nova Laranjeiras,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117107,S,PR,Nova Londrina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117206,S,PR,Nova OlÃ­mpia,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4117255,S,PR,Nova Prata do IguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117214,S,PR,Nova Santa BÃ¡rbara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117222,S,PR,Nova Santa Rosa,Sim,2018,Sim,Lei Complementar (Plano Diretor),32/2018,27/12/2018
4117271,S,PR,Nova Tebas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4117297,S,PR,Novo Itacolomi,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4117305,S,PR,Ortigueira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117404,S,PR,Ourizona,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117453,S,PR,Ouro Verde do Oeste,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4117503,S,PR,PaiÃ§andu,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117602,S,PR,Palmas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117701,S,PR,Palmeira,Sim,2017,Sim,Lei Municipal,4.498/2017,28/09/2017
4117800,S,PR,Palmital,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4117909,S,PR,Palotina,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4118006,S,PR,ParaÃ­so do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4118105,S,PR,Paranacity,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4118204,S,PR,ParanaguÃ¡,Sim,2016,Nao,Nao aprovado em lei,,Nao aprovado em lei
4118303,S,PR,Paranapoema,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4118402,S,PR,ParanavaÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4118451,S,PR,Pato Bragado,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4118501,S,PR,Pato Branco,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4118600,S,PR,Paula Freitas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4118709,S,PR,Paulo Frontin,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4118808,S,PR,Peabiru,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4118857,S,PR,Perobal,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4118907,S,PR,PÃ©rola,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119004,S,PR,PÃ©rola d'Oeste,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119103,S,PR,PiÃªn,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119152,S,PR,Pinhais,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119251,S,PR,Pinhal de SÃ£o Bento,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4119202,S,PR,PinhalÃ£o,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4119301,S,PR,PinhÃ£o,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119400,S,PR,PiraÃ­ do Sul,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4119509,S,PR,Piraquara,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119608,S,PR,Pitanga,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119657,S,PR,Pitangueiras,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4119707,S,PR,Planaltina do ParanÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4119806,S,PR,Planalto,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4119905,S,PR,Ponta Grossa,Sim,2022,Sim,Lei Municipal,14311/2022,27/07/2022
4119954,S,PR,Pontal do ParanÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4120002,S,PR,Porecatu,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120101,S,PR,Porto Amazonas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4120150,S,PR,Porto Barreiro,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4120200,S,PR,Porto Rico,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4120309,S,PR,Porto VitÃ³ria,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4120333,S,PR,Prado Ferreira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120358,S,PR,Pranchita,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120408,S,PR,Presidente Castelo Branco,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4120507,S,PR,Primeiro de Maio,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120606,S,PR,PrudentÃ³polis,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120655,S,PR,Quarto CentenÃ¡rio,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4120705,S,PR,QuatiguÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4120804,S,PR,Quatro Barras,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120853,S,PR,Quatro Pontes,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4120903,S,PR,Quedas do IguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4121000,S,PR,QuerÃªncia do Norte,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121109,S,PR,Quinta do Sol,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4121208,S,PR,Quitandinha,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4121257,S,PR,RamilÃ¢ndia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121307,S,PR,Rancho Alegre,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4121356,S,PR,Rancho Alegre D'Oeste,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4121406,S,PR,Realeza,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121505,S,PR,RebouÃ§as,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121604,S,PR,RenascenÃ§a,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121703,S,PR,Reserva,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4121752,S,PR,Reserva do IguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4121802,S,PR,RibeirÃ£o Claro,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4121901,S,PR,RibeirÃ£o do Pinhal,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4122008,S,PR,Rio Azul,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4122107,S,PR,Rio Bom,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4122156,S,PR,Rio Bonito do IguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4122172,S,PR,Rio Branco do IvaÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4122206,S,PR,Rio Branco do Sul,Sim,2017,Sim,Lei Municipal,1.142/2017,17/07/2017
4122305,S,PR,Rio Negro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4122404,S,PR,RolÃ¢ndia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4122503,S,PR,Roncador,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4122602,S,PR,Rondon,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4122651,S,PR,RosÃ¡rio do IvaÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4122701,S,PR,SabÃ¡udia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4122800,S,PR,Salgado Filho,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4122909,S,PR,Salto do ItararÃ©,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123006,S,PR,Salto do Lontra,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123105,S,PR,Santa AmÃ©lia,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123204,S,PR,Santa CecÃ­lia do PavÃ£o,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123303,S,PR,Santa Cruz de Monte Castelo,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123402,S,PR,Santa FÃ©,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4123501,S,PR,Santa Helena,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4123600,S,PR,Santa InÃªs,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123709,S,PR,Santa Isabel do IvaÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123808,S,PR,Santa Izabel do Oeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123824,S,PR,Santa LÃºcia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4123857,S,PR,Santa Maria do Oeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4123907,S,PR,Santa Mariana,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4123956,S,PR,Santa MÃ´nica,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124020,S,PR,Santa Tereza do Oeste,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4124053,S,PR,Santa Terezinha de Itaipu,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4124004,S,PR,Santana do ItararÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4124103,S,PR,Santo AntÃ´nio da Platina,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4124202,S,PR,Santo AntÃ´nio do CaiuÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124301,S,PR,Santo AntÃ´nio do ParaÃ­so,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124400,S,PR,Santo AntÃ´nio do Sudoeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124509,S,PR,Santo InÃ¡cio,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4124608,S,PR,SÃ£o Carlos do IvaÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124707,S,PR,SÃ£o JerÃ´nimo da Serra,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124806,S,PR,SÃ£o JoÃ£o,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4124905,S,PR,SÃ£o JoÃ£o do CaiuÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4125001,S,PR,SÃ£o JoÃ£o do IvaÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4125100,S,PR,SÃ£o JoÃ£o do Triunfo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4125308,S,PR,SÃ£o Jorge do IvaÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4125357,S,PR,SÃ£o Jorge do PatrocÃ­nio,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4125209,S,PR,SÃ£o Jorge d'Oeste,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4125407,S,PR,SÃ£o JosÃ© da Boa Vista,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4125456,S,PR,SÃ£o JosÃ© das Palmeiras,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4125506,S,PR,SÃ£o JosÃ© dos Pinhais,Sim,2022,Nao,Nao aprovado em lei,,Nao aprovado em lei
4125555,S,PR,SÃ£o Manoel do ParanÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4125605,S,PR,SÃ£o Mateus do Sul,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4125704,S,PR,SÃ£o Miguel do IguaÃ§u,Sim,2016,Sim,Lei Municipal,2.773/2016,03/03/2016
4125753,S,PR,SÃ£o Pedro do IguaÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4125803,S,PR,SÃ£o Pedro do IvaÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4125902,S,PR,SÃ£o Pedro do ParanÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4126009,S,PR,SÃ£o SebastiÃ£o da Amoreira,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126108,S,PR,SÃ£o TomÃ©,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4126207,S,PR,Sapopema,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126256,S,PR,Sarandi,Sim,2009,Sim,Lei Complementar,218/2009,26/09/2009
4126272,S,PR,Saudade do IguaÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126306,S,PR,SengÃ©s,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126355,S,PR,SerranÃ³polis do IguaÃ§u,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126405,S,PR,Sertaneja,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4126504,S,PR,SertanÃ³polis,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4126603,S,PR,Siqueira Campos,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126652,S,PR,Sulina,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4126678,S,PR,Tamarana,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
4126702,S,PR,Tamboara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4126801,S,PR,Tapejara,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4126900,S,PR,Tapira,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
4127007,S,PR,Teixeira Soares,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
4127106,S,PR,TelÃªmaco Borba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
